Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
521,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,5248.9,5247.2,2026-03-12 11:13:00 AM,2026-03-12 11:13:27 AM,GS,StallExit,$14.60,$11953.80,$2.40,$0.00,$0.00,$0.00,$0.00,$73.00,$39.00,$24.40,2,
522,MGC 12-26,Backtest,GoldTrendScalperV40,Short,2,5248.9,5256.2,2026-03-12 11:13:00 AM,2026-03-12 11:15:00 AM,GS,Stop loss,-$150.80,$11803.00,$4.80,$0.00,$0.00,$0.00,$0.00,$146.00,$78.00,$228.80,3,
523,MGC 12-26,Backtest,GoldTrendScalperV40,Short,5,5249.2,5251.3,2026-03-12 1:18:00 PM,2026-03-12 1:20:00 PM,GS,Buy to cover,-$117.00,$11686.00,$12.00,$0.00,$0.00,$0.00,$0.00,$170.00,$210.00,$327.00,3,
524,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,5208.5,5206.2,2026-03-13 10:42:00 AM,2026-03-13 10:43:00 AM,GS,TP1,$20.60,$11706.60,$2.40,$0.00,$0.00,$0.00,$0.00,$20.00,$127.00,$106.40,2,
525,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,5208.5,5207.3,2026-03-13 10:42:00 AM,2026-03-13 10:42:24 AM,GS,StallExit,$9.60,$11716.20,$2.40,$0.00,$0.00,$0.00,$0.00,$20.00,$127.00,$117.40,2,
526,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,5208.5,5206.0,2026-03-13 10:42:00 AM,2026-03-13 10:42:36 AM,GS,StallExit,$22.60,$11738.80,$2.40,$0.00,$0.00,$0.00,$0.00,$20.00,$127.00,$104.40,2,
527,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,5208.5,5205.1,2026-03-13 10:42:00 AM,2026-03-13 10:42:48 AM,GS,StallExit,$31.60,$11770.40,$2.40,$0.00,$0.00,$0.00,$0.00,$20.00,$127.00,$95.40,2,
528,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,5208.5,5195.8,2026-03-13 10:42:00 AM,2026-03-13 10:53:00 AM,GS,TP2,$124.60,$11895.00,$2.40,$0.00,$0.00,$0.00,$0.00,$20.00,$127.00,$2.40,12,
529,MGC 12-26,Backtest,GoldTrendScalperV40,Short,5,5189.8,5177.3,2026-03-13 10:54:00 AM,2026-03-13 10:57:00 AM,GS,FullTake,$613.00,$12508.00,$12.00,$0.00,$0.00,$0.00,$0.00,$220.00,$745.00,$132.00,4,
530,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,5125.2,5122.0,2026-03-16 10:49:00 AM,2026-03-16 10:50:00 AM,GS,TP1,$29.60,$12537.60,$2.40,$0.00,$0.00,$0.00,$0.00,$55.00,$76.00,$46.40,2,
531,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,5125.2,5122.0,2026-03-16 10:49:00 AM,2026-03-16 10:49:03 AM,GS,StallExit,$29.60,$12567.20,$2.40,$0.00,$0.00,$0.00,$0.00,$55.00,$76.00,$46.40,2,
532,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,5125.2,5124.4,2026-03-16 10:49:00 AM,2026-03-16 10:51:15 AM,GS,StallExit,$5.60,$12572.80,$2.40,$0.00,$0.00,$0.00,$0.00,$55.00,$76.00,$70.40,4,
533,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,5125.2,5122.1,2026-03-16 10:49:00 AM,2026-03-16 10:51:27 AM,GS,StallExit,$28.60,$12601.40,$2.40,$0.00,$0.00,$0.00,$0.00,$55.00,$76.00,$47.40,4,
534,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,5125.2,5130.7,2026-03-16 10:49:00 AM,2026-03-16 10:58:00 AM,GS,Stop loss,-$57.40,$12544.00,$2.40,$0.00,$0.00,$0.00,$0.00,$55.00,$76.00,$133.40,10,
535,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,5118.0,5115.2,2026-03-16 11:54:00 AM,2026-03-16 11:59:00 AM,GS,TP1,$25.60,$12569.60,$2.40,$0.00,$0.00,$0.00,$0.00,$43.00,$45.00,$19.40,6,
536,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,5118.0,5116.2,2026-03-16 11:54:00 AM,2026-03-16 11:58:15 AM,GS,StallExit,$15.60,$12585.20,$2.40,$0.00,$0.00,$0.00,$0.00,$43.00,$45.00,$29.40,6,
537,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,5118.0,5115.5,2026-03-16 11:54:00 AM,2026-03-16 11:58:27 AM,GS,StallExit,$22.60,$12607.80,$2.40,$0.00,$0.00,$0.00,$0.00,$43.00,$45.00,$22.40,6,
538,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,5118.0,5115.7,2026-03-16 11:54:00 AM,2026-03-16 11:58:39 AM,GS,StallExit,$20.60,$12628.40,$2.40,$0.00,$0.00,$0.00,$0.00,$43.00,$45.00,$24.40,6,
539,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,5118.0,5122.3,2026-03-16 11:54:00 AM,2026-03-16 12:04:00 PM,GS,Stop loss,-$45.40,$12583.00,$2.40,$0.00,$0.00,$0.00,$0.00,$43.00,$45.00,$90.40,11,
540,MGC 12-26,Backtest,GoldTrendScalperV40,Short,5,4726.7,4734.4,2026-03-20 10:10:00 AM,2026-03-20 10:10:00 AM,GS,Stop loss,-$397.00,$12186.00,$12.00,$0.00,$0.00,$0.00,$0.00,$385.00,$0.00,$397.00,1,
541,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4719.6,4718.1,2026-03-20 10:14:00 AM,2026-03-20 10:15:00 AM,GS,TP1,$12.60,$12198.60,$2.40,$0.00,$0.00,$0.00,$0.00,$8.00,$211.00,$198.40,2,
542,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4719.6,4718.1,2026-03-20 10:14:00 AM,2026-03-20 10:14:03 AM,GS,StallExit,$12.60,$12211.20,$2.40,$0.00,$0.00,$0.00,$0.00,$8.00,$211.00,$198.40,2,
543,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4719.6,4716.4,2026-03-20 10:14:00 AM,2026-03-20 10:14:15 AM,GS,StallExit,$29.60,$12240.80,$2.40,$0.00,$0.00,$0.00,$0.00,$8.00,$211.00,$181.40,2,
544,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4719.6,4713.7,2026-03-20 10:14:00 AM,2026-03-20 10:14:27 AM,GS,StallExit,$56.60,$12297.40,$2.40,$0.00,$0.00,$0.00,$0.00,$8.00,$211.00,$154.40,2,
545,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4719.6,4703.7,2026-03-20 10:14:00 AM,2026-03-20 10:17:00 AM,GS,TP2,$156.60,$12454.00,$2.40,$0.00,$0.00,$0.00,$0.00,$8.00,$211.00,$54.40,4,
546,MGC 12-26,Backtest,GoldTrendScalperV40,Short,5,4696.8,4688.5,2026-03-20 10:19:00 AM,2026-03-20 10:20:00 AM,GS,FullTake,$403.00,$12857.00,$12.00,$0.00,$0.00,$0.00,$0.00,$210.00,$440.00,$37.00,2,
547,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4548.4,4546.5,2026-03-23 11:38:00 AM,2026-03-23 11:40:00 AM,GS,TP1,$16.60,$12873.60,$2.40,$0.00,$0.00,$0.00,$0.00,$57.00,$125.00,$108.40,3,
548,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4548.4,4546.5,2026-03-23 11:38:00 AM,2026-03-23 11:39:03 AM,GS,StallExit,$16.60,$12890.20,$2.40,$0.00,$0.00,$0.00,$0.00,$57.00,$125.00,$108.40,3,
549,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4548.4,4545.2,2026-03-23 11:38:00 AM,2026-03-23 11:40:06 AM,GS,StallExit,$29.60,$12919.80,$2.40,$0.00,$0.00,$0.00,$0.00,$57.00,$125.00,$95.40,4,
550,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4548.4,4542.8,2026-03-23 11:38:00 AM,2026-03-23 11:40:18 AM,GS,StallExit,$53.60,$12973.40,$2.40,$0.00,$0.00,$0.00,$0.00,$57.00,$125.00,$71.40,4,
551,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4548.4,4538.3,2026-03-23 11:38:00 AM,2026-03-23 11:45:00 AM,GS,TP2,$98.60,$13072.00,$2.40,$0.00,$0.00,$0.00,$0.00,$57.00,$125.00,$26.40,8,
552,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4534.5,4531.3,2026-03-23 11:46:00 AM,2026-03-23 11:47:00 AM,GS,TP1,$29.60,$13101.60,$2.40,$0.00,$0.00,$0.00,$0.00,$62.00,$90.00,$60.40,2,
553,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4534.5,4529.5,2026-03-23 11:46:00 AM,2026-03-23 11:46:21 AM,GS,StallExit,$47.60,$13149.20,$2.40,$0.00,$0.00,$0.00,$0.00,$62.00,$90.00,$42.40,2,
554,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4534.5,4530.2,2026-03-23 11:46:00 AM,2026-03-23 11:46:33 AM,GS,StallExit,$40.60,$13189.80,$2.40,$0.00,$0.00,$0.00,$0.00,$62.00,$90.00,$49.40,2,
555,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4534.5,4531.5,2026-03-23 11:46:00 AM,2026-03-23 11:46:45 AM,GS,StallExit,$27.60,$13217.40,$2.40,$0.00,$0.00,$0.00,$0.00,$62.00,$90.00,$62.40,2,
556,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4534.5,4528.2,2026-03-23 11:46:00 AM,2026-03-23 11:48:00 AM,GS,TP2,$60.60,$13278.00,$2.40,$0.00,$0.00,$0.00,$0.00,$62.00,$90.00,$29.40,3,
557,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4508.0,4505.7,2026-03-24 1:34:00 PM,2026-03-24 1:37:00 PM,GS,TP1,$20.60,$13298.60,$2.40,$0.00,$0.00,$0.00,$0.00,$49.00,$117.00,$96.40,4,
558,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4508.0,4506.0,2026-03-24 1:34:00 PM,2026-03-24 1:36:21 PM,GS,StallExit,$17.60,$13316.20,$2.40,$0.00,$0.00,$0.00,$0.00,$49.00,$117.00,$99.40,4,
559,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4508.0,4505.5,2026-03-24 1:34:00 PM,2026-03-24 1:36:33 PM,GS,StallExit,$22.60,$13338.80,$2.40,$0.00,$0.00,$0.00,$0.00,$49.00,$117.00,$94.40,4,
560,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4508.0,4506.2,2026-03-24 1:34:00 PM,2026-03-24 1:36:45 PM,GS,StallExit,$15.60,$13354.40,$2.40,$0.00,$0.00,$0.00,$0.00,$49.00,$117.00,$101.40,4,
561,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4508.0,4508.0,2026-03-24 1:34:00 PM,2026-03-24 1:48:00 PM,GS,Stop loss,-$2.40,$13352.00,$2.40,$0.00,$0.00,$0.00,$0.00,$49.00,$117.00,$119.40,15,
562,MGC 12-26,Backtest,GoldTrendScalperV40,Short,5,4548.8,4555.5,2026-03-26 12:03:00 PM,2026-03-26 12:04:00 PM,GS,Stop loss,-$347.00,$13005.00,$12.00,$0.00,$0.00,$0.00,$0.00,$335.00,$55.00,$402.00,2,
563,MGC 12-26,Backtest,GoldTrendScalperV40,Short,5,4540.4,4520.9,2026-03-26 12:22:00 PM,2026-03-26 12:23:00 PM,GS,FullTake,$963.00,$13968.00,$12.00,$0.00,$0.00,$0.00,$0.00,$125.00,$1000.00,$37.00,2,
564,MGC 12-26,Backtest,GoldTrendScalperV40,Long,5,4645.6,4653.0,2026-03-27 11:14:00 AM,2026-03-27 11:15:00 AM,GL_B,FullTake,$358.00,$14326.00,$12.00,$0.00,$0.00,$0.00,$0.00,$15.00,$405.00,$47.00,2,
565,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4641.3,4639.5,2026-03-30 1:33:00 PM,2026-03-30 1:34:00 PM,GS,TP1,$15.60,$14341.60,$2.40,$0.00,$0.00,$0.00,$0.00,$45.00,$42.00,$26.40,2,
566,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4641.3,4639.8,2026-03-30 1:33:00 PM,2026-03-30 1:34:24 PM,GS,StallExit,$12.60,$14354.20,$2.40,$0.00,$0.00,$0.00,$0.00,$45.00,$42.00,$29.40,3,
567,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4641.3,4639.5,2026-03-30 1:33:00 PM,2026-03-30 1:34:36 PM,GS,StallExit,$15.60,$14369.80,$2.40,$0.00,$0.00,$0.00,$0.00,$45.00,$42.00,$26.40,3,
568,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4641.3,4638.8,2026-03-30 1:33:00 PM,2026-03-30 1:34:48 PM,GS,StallExit,$22.60,$14392.40,$2.40,$0.00,$0.00,$0.00,$0.00,$45.00,$42.00,$19.40,3,
569,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4641.3,4645.8,2026-03-30 1:33:00 PM,2026-03-30 1:44:00 PM,GS,Stop loss,-$47.40,$14345.00,$2.40,$0.00,$0.00,$0.00,$0.00,$45.00,$42.00,$89.40,12,
570,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,4912.2,4914.8,2026-04-09 11:37:00 AM,2026-04-09 11:38:00 AM,GL_B,TP1,$23.60,$14368.60,$2.40,$0.00,$0.00,$0.00,$0.00,$57.00,$42.00,$18.40,2,
571,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,4912.2,4914.8,2026-04-09 11:37:00 AM,2026-04-09 11:37:03 AM,GL_B,StallExit,$23.60,$14392.20,$2.40,$0.00,$0.00,$0.00,$0.00,$57.00,$42.00,$18.40,2,
572,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,4912.2,4915.1,2026-04-09 11:37:00 AM,2026-04-09 11:37:15 AM,GL_B,StallExit,$26.60,$14418.80,$2.40,$0.00,$0.00,$0.00,$0.00,$57.00,$42.00,$15.40,2,
573,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,4912.2,4913.4,2026-04-09 11:37:00 AM,2026-04-09 11:37:27 AM,GL_B,StallExit,$9.60,$14428.40,$2.40,$0.00,$0.00,$0.00,$0.00,$57.00,$42.00,$32.40,2,
574,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,4912.2,4906.5,2026-04-09 11:37:00 AM,2026-04-09 11:39:00 AM,GL_B,Stop loss,-$59.40,$14369.00,$2.40,$0.00,$0.00,$0.00,$0.00,$57.00,$42.00,$101.40,3,
575,MGC 12-26,Backtest,GoldTrendScalperV40,Short,5,4916.3,4920.8,2026-04-15 11:09:00 AM,2026-04-15 11:10:00 AM,GS,Stop loss,-$237.00,$14132.00,$12.00,$0.00,$0.00,$0.00,$0.00,$225.00,$50.00,$287.00,2,
576,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4913.3,4910.6,2026-04-15 11:31:00 AM,2026-04-15 11:32:00 AM,GS,TP1,$24.60,$14156.60,$2.40,$0.00,$0.00,$0.00,$0.00,$18.00,$116.00,$91.40,2,
577,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4913.3,4908.4,2026-04-15 11:31:00 AM,2026-04-15 11:31:42 AM,GS,StallExit,$46.60,$14203.20,$2.40,$0.00,$0.00,$0.00,$0.00,$18.00,$116.00,$69.40,2,
578,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4913.3,4908.4,2026-04-15 11:31:00 AM,2026-04-15 11:31:54 AM,GS,StallExit,$46.60,$14249.80,$2.40,$0.00,$0.00,$0.00,$0.00,$18.00,$116.00,$69.40,2,
579,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4913.3,4908.2,2026-04-15 11:31:00 AM,2026-04-15 11:33:00 AM,GS,TP2,$48.60,$14298.40,$2.40,$0.00,$0.00,$0.00,$0.00,$18.00,$116.00,$67.40,3,
580,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4913.3,4913.3,2026-04-15 11:31:00 AM,2026-04-15 11:37:00 AM,GS,Stop loss,-$2.40,$14296.00,$2.40,$0.00,$0.00,$0.00,$0.00,$18.00,$116.00,$118.40,7,
581,MGC 12-26,Backtest,GoldTrendScalperV40,Short,5,4907.7,4910.3,2026-04-20 12:06:00 PM,2026-04-20 12:06:00 PM,GS,Stop loss,-$142.00,$14154.00,$12.00,$0.00,$0.00,$0.00,$0.00,$130.00,$0.00,$142.00,1,
582,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4886.0,4883.6,2026-04-21 10:22:00 AM,2026-04-21 10:27:00 AM,GS,TP1,$21.60,$14175.60,$2.40,$0.00,$0.00,$0.00,$0.00,$29.00,$130.00,$108.40,6,
583,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4886.0,4883.6,2026-04-21 10:22:00 AM,2026-04-21 10:26:03 AM,GS,StallExit,$21.60,$14197.20,$2.40,$0.00,$0.00,$0.00,$0.00,$29.00,$130.00,$108.40,6,
584,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4886.0,4882.3,2026-04-21 10:22:00 AM,2026-04-21 10:26:15 AM,GS,StallExit,$34.60,$14231.80,$2.40,$0.00,$0.00,$0.00,$0.00,$29.00,$130.00,$95.40,6,
585,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4886.0,4883.6,2026-04-21 10:22:00 AM,2026-04-21 10:26:27 AM,GS,StallExit,$21.60,$14253.40,$2.40,$0.00,$0.00,$0.00,$0.00,$29.00,$130.00,$108.40,6,
586,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4886.0,4875.1,2026-04-21 10:22:00 AM,2026-04-21 10:38:00 AM,GS,TP2,$106.60,$14360.00,$2.40,$0.00,$0.00,$0.00,$0.00,$29.00,$130.00,$23.40,17,
587,MGC 12-26,Backtest,GoldTrendScalperV40,Short,5,4872.5,4865.6,2026-04-21 10:41:00 AM,2026-04-21 10:42:00 AM,GS,FullTake,$333.00,$14693.00,$12.00,$0.00,$0.00,$0.00,$0.00,$105.00,$610.00,$277.00,2,
588,MGC 12-26,Backtest,GoldTrendScalperV40,Short,5,4798.2,4789.5,2026-04-23 1:43:00 PM,2026-04-23 1:44:00 PM,GS,FullTake,$423.00,$15116.00,$12.00,$0.00,$0.00,$0.00,$0.00,$170.00,$465.00,$42.00,2,
589,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4785.8,4783.8,2026-04-27 10:57:00 AM,2026-04-27 11:03:00 AM,GS,TP1,$17.60,$15133.60,$2.40,$0.00,$0.00,$0.00,$0.00,$23.00,$103.00,$85.40,7,
590,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4785.8,4783.8,2026-04-27 10:57:00 AM,2026-04-27 11:02:03 AM,GS,StallExit,$17.60,$15151.20,$2.40,$0.00,$0.00,$0.00,$0.00,$23.00,$103.00,$85.40,7,
591,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4785.8,4783.3,2026-04-27 10:57:00 AM,2026-04-27 11:02:15 AM,GS,StallExit,$22.60,$15173.80,$2.40,$0.00,$0.00,$0.00,$0.00,$23.00,$103.00,$80.40,7,
592,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4785.8,4781.0,2026-04-27 10:57:00 AM,2026-04-27 11:02:27 AM,GS,StallExit,$45.60,$15219.40,$2.40,$0.00,$0.00,$0.00,$0.00,$23.00,$103.00,$57.40,7,
593,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4785.8,4776.5,2026-04-27 10:57:00 AM,2026-04-27 11:06:00 AM,GS,TP2,$90.60,$15310.00,$2.40,$0.00,$0.00,$0.00,$0.00,$23.00,$103.00,$12.40,10,
594,MGC 12-26,Backtest,GoldTrendScalperV40,Short,5,4780.4,4784.4,2026-04-27 11:24:00 AM,2026-04-27 11:28:00 AM,GS,Stop loss,-$212.00,$15098.00,$12.00,$0.00,$0.00,$0.00,$0.00,$200.00,$55.00,$267.00,5,
595,MGC 12-26,Backtest,GoldTrendScalperV40,Long,5,4763.0,4755.0,2026-05-01 10:14:00 AM,2026-05-01 10:20:00 AM,GL_B,Stop loss,-$412.00,$14686.00,$12.00,$0.00,$0.00,$0.00,$0.00,$400.00,$130.00,$542.00,7,
596,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4656.0,4652.4,2026-05-04 11:15:00 AM,2026-05-04 11:16:00 AM,GS,TP1,$33.60,$14719.60,$2.40,$0.00,$0.00,$0.00,$0.00,$37.00,$148.00,$114.40,2,
597,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4656.0,4654.5,2026-05-04 11:15:00 AM,2026-05-04 11:15:18 AM,GS,StallExit,$12.60,$14732.20,$2.40,$0.00,$0.00,$0.00,$0.00,$37.00,$148.00,$135.40,2,
598,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4656.0,4654.3,2026-05-04 11:15:00 AM,2026-05-04 11:17:36 AM,GS,StallExit,$14.60,$14746.80,$2.40,$0.00,$0.00,$0.00,$0.00,$37.00,$148.00,$133.40,4,
599,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4656.0,4653.6,2026-05-04 11:15:00 AM,2026-05-04 11:17:48 AM,GS,StallExit,$21.60,$14768.40,$2.40,$0.00,$0.00,$0.00,$0.00,$37.00,$148.00,$126.40,4,
600,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4656.0,4643.3,2026-05-04 11:15:00 AM,2026-05-04 11:21:00 AM,GS,TP2,$124.60,$14893.00,$2.40,$0.00,$0.00,$0.00,$0.00,$37.00,$148.00,$23.40,7,
601,MGC 12-26,Backtest,GoldTrendScalperV40,Short,5,4639.4,4618.9,2026-05-04 11:22:00 AM,2026-05-04 11:23:00 AM,GS,FullTake,$1013.00,$15906.00,$12.00,$0.00,$0.00,$0.00,$0.00,$20.00,$1055.00,$42.00,2,
602,MGC 12-26,Backtest,GoldTrendScalperV40,Short,5,4800.0,4790.9,2026-05-07 1:28:00 PM,2026-05-07 1:29:00 PM,GS,FullTake,$443.00,$16349.00,$12.00,$0.00,$0.00,$0.00,$0.00,$20.00,$480.00,$37.00,2,
603,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4819.2,4813.8,2026-05-11 12:43:00 PM,2026-05-11 12:44:00 PM,GS,TP1,$51.60,$16400.60,$2.40,$0.00,$0.00,$0.00,$0.00,$2.00,$92.00,$40.40,2,
604,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4819.2,4813.8,2026-05-11 12:43:00 PM,2026-05-11 12:44:00 PM,GS,TP2,$51.60,$16452.20,$2.40,$0.00,$0.00,$0.00,$0.00,$2.00,$92.00,$40.40,2,
605,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4819.2,4812.6,2026-05-11 12:43:00 PM,2026-05-11 12:43:24 PM,GS,StallExit,$63.60,$16515.80,$2.40,$0.00,$0.00,$0.00,$0.00,$2.00,$92.00,$28.40,2,
606,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4819.2,4814.6,2026-05-11 12:43:00 PM,2026-05-11 12:43:36 PM,GS,StallExit,$43.60,$16559.40,$2.40,$0.00,$0.00,$0.00,$0.00,$2.00,$92.00,$48.40,2,
607,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4819.2,4813.6,2026-05-11 12:43:00 PM,2026-05-11 12:46:00 PM,GS,TP3,$53.60,$16613.00,$2.40,$0.00,$0.00,$0.00,$0.00,$2.00,$92.00,$38.40,4,
608,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4775.3,4771.9,2026-05-12 10:53:00 AM,2026-05-12 10:59:00 AM,GS,TP1,$31.60,$16644.60,$2.40,$0.00,$0.00,$0.00,$0.00,$34.00,$62.00,$30.40,7,
609,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4775.3,4770.6,2026-05-12 10:53:00 AM,2026-05-12 10:58:12 AM,GS,StallExit,$44.60,$16689.20,$2.40,$0.00,$0.00,$0.00,$0.00,$34.00,$62.00,$17.40,7,
610,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4775.3,4771.1,2026-05-12 10:53:00 AM,2026-05-12 10:58:24 AM,GS,StallExit,$39.60,$16728.80,$2.40,$0.00,$0.00,$0.00,$0.00,$34.00,$62.00,$22.40,7,
611,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4775.3,4771.6,2026-05-12 10:53:00 AM,2026-05-12 10:58:36 AM,GS,StallExit,$34.60,$16763.40,$2.40,$0.00,$0.00,$0.00,$0.00,$34.00,$62.00,$27.40,7,
612,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4775.3,4769.6,2026-05-12 10:53:00 AM,2026-05-12 11:03:00 AM,GS,TP2,$54.60,$16818.00,$2.40,$0.00,$0.00,$0.00,$0.00,$34.00,$62.00,$7.40,11,
613,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4761.9,4760.4,2026-05-12 11:19:00 AM,2026-05-12 11:20:00 AM,GS,TP1,$12.60,$16830.60,$2.40,$0.00,$0.00,$0.00,$0.00,$8.00,$157.00,$144.40,2,
614,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4761.9,4760.4,2026-05-12 11:19:00 AM,2026-05-12 11:19:03 AM,GS,StallExit,$12.60,$16843.20,$2.40,$0.00,$0.00,$0.00,$0.00,$8.00,$157.00,$144.40,2,
615,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4761.9,4760.0,2026-05-12 11:19:00 AM,2026-05-12 11:19:21 AM,GS,StallExit,$16.60,$16859.80,$2.40,$0.00,$0.00,$0.00,$0.00,$8.00,$157.00,$140.40,2,
616,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4761.9,4759.5,2026-05-12 11:19:00 AM,2026-05-12 11:20:36 AM,GS,StallExit,$21.60,$16881.40,$2.40,$0.00,$0.00,$0.00,$0.00,$8.00,$157.00,$135.40,3,
617,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4761.9,4747.0,2026-05-12 11:19:00 AM,2026-05-12 11:24:00 AM,GS,TP2,$146.60,$17028.00,$2.40,$0.00,$0.00,$0.00,$0.00,$8.00,$157.00,$10.40,6,
618,MGC 12-26,Backtest,GoldTrendScalperV40,Short,5,4627.5,4631.8,2026-05-15 12:08:00 PM,2026-05-15 12:21:00 PM,GS,Stop loss,-$227.00,$16801.00,$12.00,$0.00,$0.00,$0.00,$0.00,$215.00,$75.00,$302.00,14,
619,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4568.8,4564.0,2026-05-20 10:13:00 AM,2026-05-20 10:14:00 AM,GS,TP1,$45.60,$16846.60,$2.40,$0.00,$0.00,$0.00,$0.00,$38.00,$67.00,$21.40,2,
620,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4568.8,4564.0,2026-05-20 10:13:00 AM,2026-05-20 10:14:00 AM,GS,TP2,$45.60,$16892.20,$2.40,$0.00,$0.00,$0.00,$0.00,$38.00,$67.00,$21.40,2,
621,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4568.8,4564.0,2026-05-20 10:13:00 AM,2026-05-20 10:13:03 AM,GS,StallExit,$45.60,$16937.80,$2.40,$0.00,$0.00,$0.00,$0.00,$38.00,$67.00,$21.40,2,
